"";"org_sujo";"org_detalhe_sujo";"id_org_dupla";"org_limpo";"org_detalhe_limpo";"id_org_unica"
"1440";"Ministry of External Relations";"Embassy";1845;"Ministério das Relações Exteriores";NA;435
"1441";"Ministry of External Relations";"Diplomatic Mission of Brazil to Poland";1846;"Ministério das Relações Exteriores";NA;435
"1442";"Ministry of External Relations";"Diplomatic Mission of Brazil to Denmark";1890;"Ministério das Relações Exteriores";NA;435
"1443";"Ministry of External Relations";"Undersecretariat of State for Trade Promotion and Cooperation";1891;"Ministério das Relações Exteriores";NA;435
"1444";"Ministry of External Relations";"Undersecretariat of State for Energy and High Technology";1892;"Ministério das Relações Exteriores";NA;435
"1445";"Ministry of External Relations";"Undersecretariat of State for Political Affairs";1893;"Ministério das Relações Exteriores";NA;435
"1446";"Ministry of External Relations";"Ambassadorship for Climate Change";1894;"Ministério das Relações Exteriores";NA;435
"1447";"Ministry of External Relations";"Mission of Brazil to Mexico";1975;"Ministério das Relações Exteriores";NA;435
"1448";"Ministry of External Relations";"Department of Environment and Special Affairs, Division of Environmental Policy and Sustainable Development";2122;"Ministério das Relações Exteriores";NA;435
"1449";"Ministry of External Relations";"Undersecretariat for Environment, Energy, Science and Technology";2133;"Ministério das Relações Exteriores";NA;435
"1450";"Ministry of External Relations";"Embassy of Brazil in Pretoria";2134;"Ministério das Relações Exteriores";NA;435
"1451";"Ministry of External Relations";"Trade Section, Embassy of Brazil";2163;"Ministério das Relações Exteriores";NA;435
"1452";"Ministry of External Relations";"Department of Environment and Special Affairs, Division of Climate, Ozone and Chemical Safety";2164;"Ministério das Relações Exteriores";NA;435
"1453";"Ministry of External Relations";"Embassy of Brazil in Doha";2167;"Ministério das Relações Exteriores";NA;435
"1454";"Ministry of External Relations";"AFEPA";2168;"Ministério das Relações Exteriores";NA;435
"1455";"Ministry of External Relations";"Embassy of Brazil in Warsaw";2230;"Ministério das Relações Exteriores";NA;435
"1456";"Ministry of External Relations";"Brazilian Mission to the United Nations";2231;"Ministério das Relações Exteriores";NA;435
"1457";"Ministry of External Relations";"Embassy of Brazil in Lima";2293;"Ministério das Relações Exteriores";NA;435
"1458";"Ministry of External Relations";"Embassy of Brazil in Lima, Consular Section";2295;"Ministério das Relações Exteriores";NA;435
"1459";"Ministry of External Relations";"Embassy of Brazil in Lima, Commercial Sector";2296;"Ministério das Relações Exteriores";NA;435
"1460";"Ministry of External Relations";"Assessoria Especial de Assuntos Federativos e Parlamentares";2297;"Ministério das Relações Exteriores";NA;435
"1461";"Ministry of External Relations";"Embassy of Brazil in Paris";2536;"Ministério das Relações Exteriores";NA;435
"1462";"Ministry of External Relations";"Protocol Unit";2542;"Ministério das Relações Exteriores";NA;435
"1463";"Ministry of External Relations";"Office of Media Relations";2543;"Ministério das Relações Exteriores";NA;435
"1464";"Ministry of External Relations";"Protocol";2545;"Ministério das Relações Exteriores";NA;435
"1465";"Ministry of External Relations";"Embassy of Brazil in Paris, Commercial Sector";2547;"Ministério das Relações Exteriores";NA;435
"1466";"Ministry of External Relations";"Permanent Mission of Brazil to theUnited Nations, New York";2641;"Ministério das Relações Exteriores";NA;435
"1467";"Ministry of External Relations";"Permanent Representation of Brazil to FAO, WFP and IFAD";2642;"Ministério das Relações Exteriores";NA;435
"1468";"Ministry of External Relations";"Brazilian Embassy in Spain";2675;"Ministério das Relações Exteriores";NA;435
"1469";"Ministry of Finance";NA;366;"Ministério da Fazenda";NA;427
"1470";"Ministry of Finance";"Environment and Climate Change Coordination";413;"Ministério da Fazenda";NA;427
"1471";"Ministry of Finance";"Secretariat for International Affairs";442;"Ministério da Fazenda";NA;427
"1472";"Ministry of Finance";"Social Communication Office of the Minister";470;"Ministério da Fazenda";NA;427
"1473";"Ministry of Finance";"Press Relations Office";487;"Ministério da Fazenda";NA;427
"1474";"Ministry of Finance";"Public Policies and Government Management";631;"Ministério da Fazenda";NA;427
"1475";"Ministry of Finance";"International Affairs";649;"Ministério da Fazenda";NA;427
"1476";"Ministry of Finance";"Minister's Protocol";716;"Ministério da Fazenda";NA;427
"1477";"Ministry of Finance";"Press relations officer";768;"Ministério da Fazenda";NA;427
"1478";"Ministry of Finance";"Public Policy";856;"Ministério da Fazenda";NA;427
"1479";"Ministry of Finance";"Coordination for the Environment and Climate Change";888;"Ministério da Fazenda";NA;427
"1480";"Ministry of Finance";"Secretariat for Economic Policy";889;"Ministério da Fazenda";NA;427
"1481";"Ministry of Finance";"Minister Protocol";895;"Ministério da Fazenda";NA;427
"1482";"Ministry of Finance";"Finances and Control";1660;"Ministério da Fazenda";NA;427
"1483";"Ministry of Finance";"Public Policy and Government Management";2187;"Ministério da Fazenda";NA;427
"1484";"Ministry of Finance";"Coordination for Development and Sustainability";2498;"Ministério da Fazenda";NA;427
"1485";"Ministry of Finance";"Development and Sustainability";2568;"Ministério da Fazenda";NA;427
"1486";"Ministry of Fishing and Aquaculture";NA;359;"Ministério da Pesca e Aquicultura";NA;430
"1487";"Ministry of Fishing and Aquaculture";"Secretariat for Monitoring and Fisheries Control and Aquiculture";416;"Ministério da Pesca e Aquicultura";NA;430
"1488";"Ministry of Fishing and Aquaculture";"Secretariat for Infrastructure and the Promotion of Fisheries";733;"Ministério da Pesca e Aquicultura";NA;430
"1489";"Ministry of Fishing and Aquaculture";"Secretariat for Planning and Fisheries Development";784;"Ministério da Pesca e Aquicultura";NA;430
"1490";"Ministry of Fishing and Aquaculture";"Communication";844;"Ministério da Pesca e Aquicultura";NA;430
"1491";"Ministry of Fishing and Aquaculture";"International Affairs";954;"Ministério da Pesca e Aquicultura";NA;430
"1492";"Ministry of Fishing and Aquaculture";"Secretariat for Planning and Aquiculture Development";1025;"Ministério da Pesca e Aquicultura";NA;430
"1493";"Ministry of Fishing and Aquaculture";"Secretariat for the National Council for Aquaculture and Fisheries";1185;"Ministério da Pesca e Aquicultura";NA;430
"1494";"Ministry of Foreign Affairs";"Division of Environment";154;"Ministério das Relações Exteriores";NA;435
"1495";"Ministry of Foreign Affairs";"Department of Environment and Special Affairs";155;"Ministério das Relações Exteriores";NA;435
"1496";"Ministry of Foreign Affairs";"Division of Environmental Policy and Sustainable Development";158;"Ministério das Relações Exteriores";NA;435
"1497";"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Office in Geneva";159;"Ministério das Relações Exteriores";NA;435
"1498";"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Environment Programme";161;"Ministério das Relações Exteriores";NA;435
"1499";"Ministry of Foreign Affairs";"Division for Climate, Ozone and Chemical Safety";170;"Ministério das Relações Exteriores";NA;435
"1500";"Ministry of Foreign Affairs";"Rio+20 Brazilian Organizing Committee; Coordination of Information Technology and Communication";173;"Ministério das Relações Exteriores";NA;435
"1501";"Ministry of Foreign Affairs";"Embassy of Brazil in Stockholm";174;"Ministério das Relações Exteriores";NA;435
"1502";"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations in New York";175;"Ministério das Relações Exteriores";NA;435
"1503";"Ministry of Foreign Affairs";"Embassy of Brazil in Bonn";195;"Ministério das Relações Exteriores";NA;435
"1504";"Ministry of Foreign Affairs";"Division of the Environment";196;"Ministério das Relações Exteriores";NA;435
"1505";"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Office and other International Organizations in Geneva";205;"Ministério das Relações Exteriores";NA;435
"1506";"Ministry of Foreign Affairs";"Division of Climate Change, Ozone and Chemical Safety";211;"Ministério das Relações Exteriores";NA;435
"1507";"Ministry of Foreign Affairs";"Division for Sustainable Development Policies";221;"Ministério das Relações Exteriores";NA;435
"1508";"Ministry of Foreign Affairs";"Division of Environment II";227;"Ministério das Relações Exteriores";NA;435
"1509";"Ministry of Foreign Affairs";"Division for Environmental Policy and Sustainable Development";229;"Ministério das Relações Exteriores";NA;435
"1510";"Ministry of Foreign Affairs";"Permanent Representation of Brazil to FAO";233;"Ministério das Relações Exteriores";NA;435
"1511";"Ministry of Foreign Affairs";"Consulate General of Brazil in Montreal";236;"Ministério das Relações Exteriores";NA;435
"1512";"Ministry of Foreign Affairs";"Division for the Environment";237;"Ministério das Relações Exteriores";NA;435
"1513";"Ministry of Foreign Affairs";NA;242;"Ministério das Relações Exteriores";NA;435
"1514";"Ministry of Foreign Affairs";"Embajada de Brasil em Argentina";243;"Ministério das Relações Exteriores";NA;435
"1515";"Ministry of Foreign Affairs";"Environment Division";261;"Ministério das Relações Exteriores";NA;435
"1516";"Ministry of Foreign Affairs";"Division of the Sea, Antarctic and Space Affairs";262;"Ministério das Relações Exteriores";NA;435
"1517";"Ministry of Foreign Affairs";"Mission of the Federative Republic of Brazil to FAO";287;"Ministério das Relações Exteriores";NA;435
"1518";"Ministry of Foreign Affairs";"Embassy of Brazil, Rome";301;"Ministério das Relações Exteriores";NA;435
"1519";"Ministry of Foreign Affairs";"Department of Special Themes";1263;"Ministério das Relações Exteriores";NA;435
"1520";"Ministry of Foreign Affairs";"Embassy of Brazil, Dakar";1264;"Ministério das Relações Exteriores";NA;435
"1521";"Ministry of Foreign Affairs";"Embassy of Brazil, New Delhi";1309;"Ministério das Relações Exteriores";NA;435
"1522";"Ministry of Foreign Affairs";"Division of Climate, Ozone, and Chemical Safety";1322;"Ministério das Relações Exteriores";NA;435
"1523";"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations at Geneva";1325;"Ministério das Relações Exteriores";NA;435
"1524";"Ministry of Foreign Affairs";"Brazilian Permanent Mission to the United Nations Office at Geneva";1336;"Ministério das Relações Exteriores";NA;435
"1525";"Ministry of Foreign Affairs";"Environmental Sector, Embassy of Brazil in Tokyo";1349;"Ministério das Relações Exteriores";NA;435
"1526";"Ministry of Foreign Affairs";"Embassy of Brazil in Cairo";1397;"Ministério das Relações Exteriores";NA;435
"1527";"Ministry of Foreign Affairs";"Department of Special Affairs, Division of Environment";1407;"Ministério das Relações Exteriores";NA;435
"1528";"Ministry of Foreign Affairs";"Permanent Representation of Brazil to UNESCO";1412;"Ministério das Relações Exteriores";NA;435
"1529";"Ministry of Foreign Affairs";"Division for International Cooperation";1413;"Ministério das Relações Exteriores";NA;435
"1530";"Ministry of Foreign Affairs";"Department of the Environment";1415;"Ministério das Relações Exteriores";NA;435
"1531";"Ministry of Foreign Affairs";"Embassy of Brazil to Germany";1420;"Ministério das Relações Exteriores";NA;435
"1532";"Ministry of Foreign Affairs";"Embassy of Brazil in Washington";2462;"Ministério das Relações Exteriores";NA;435
"1533";"Ministry of Foreign Affairs";"Under-Secretary General for Environment, Energy, Science and Technology";2463;"Ministério das Relações Exteriores";NA;435
"1534";"Ministry of Foreign Affairs";"Division of Climate, Ozone and Chemical Safety";2464;"Ministério das Relações Exteriores";NA;435
"1535";"Ministry of Foreign Affairs";"Embassy of Brazil in Paris";2465;"Ministério das Relações Exteriores";NA;435
"1536";"Ministry of Foreign Affairs";"Department of Environment and Special Issues";2491;"Ministério das Relações Exteriores";NA;435
"1537";"Ministry of Foreign Affairs";"General Coordination for Sustainable Development";2492;"Ministério das Relações Exteriores";NA;435
"1538";"Ministry of Foreign Affairs";"Office of Parliamentary and Federative Affairs";2493;"Ministério das Relações Exteriores";NA;435
"1539";"Ministry of Foreign Affairs";"Division of Climate, Ozone and Chemical Security";2494;"Ministério das Relações Exteriores";NA;435
"1540";"Ministry of Foreign Affairs";"Embassy of Brazil in London";2495;"Ministério das Relações Exteriores";NA;435
"1541";"Ministry of Foreign Affairs";"Head Office";2496;"Ministério das Relações Exteriores";NA;435
"1542";"Ministry of Foreign Affairs";"Protocol Unit";2497;"Ministério das Relações Exteriores";NA;435
"1543";"Ministry of Foreign Affairs";"Undersecretariat General for Environment, Energy, Science and Technology";2556;"Ministério das Relações Exteriores";NA;435
"1544";"Ministry of Foreign Affairs";"Division of Climate Change";2558;"Ministério das Relações Exteriores";NA;435
"1545";"Ministry of Foreign Affairs";"Embassy of Brazil in Rabat";2561;"Ministério das Relações Exteriores";NA;435
"1546";"Ministry of Foreign Affairs";"Division of New and Renewable Energy Resources";2562;"Ministério das Relações Exteriores";NA;435
"1547";"Ministry of Foreign Affairs";"Consulate of Brazil in Casablanca";2587;"Ministério das Relações Exteriores";NA;435
"1548";"Ministry of Foreign Affairs";"Embassy of Brazil in Rabat, Trade Assistant";2588;"Ministério das Relações Exteriores";NA;435
"1549";"Ministry of Foreign Affairs";"Embassy of Brazil in Rabat, Press Relations";2589;"Ministério das Relações Exteriores";NA;435
"1550";"Ministry of Foreign Affairs";"Department of Environmental Sustainability";2596;"Ministério das Relações Exteriores";NA;435
"1551";"Ministry of Foreign Affairs";"Embassy of Brazil in Berlin";2598;"Ministério das Relações Exteriores";NA;435
"1552";"Ministry of Foreign Affairs";"Congressional and Federative Affairs Office";2599;"Ministério das Relações Exteriores";NA;435
"1553";"Ministry of Foreign Affairs";"Climate Change Division";2639;"Ministério das Relações Exteriores";NA;435
"1554";"Ministry of Foreign Affairs";"Office of the Special Advisor on Federal and Congressional Affairs";2640;"Ministério das Relações Exteriores";NA;435
"1555";"Ministry of Foreign Affairs";"Sovereignty and Citizenship";2664;"Ministério das Relações Exteriores";NA;435
"1556";"Ministry of Foreign Affairs";"Department of Environment";2665;"Ministério das Relações Exteriores";NA;435
"1557";"Ministry of Foreign Affairs";"Embassy of Brazil in Madrid";2666;"Ministério das Relações Exteriores";NA;435
"1558";"Ministry of Foreign Affairs";"Environment Division II";2667;"Ministério das Relações Exteriores";NA;435
"1559";"Ministry of Foreign Affairs";"Energy Promotion Division";2669;"Ministério das Relações Exteriores";NA;435
"1560";"Ministry of Foreign Affairs";"Brazilian Embassy in Buenos Aires";2670;"Ministério das Relações Exteriores";NA;435
"1561";"Ministry of Foreign Affairs";"Brazilian Embassy in Madrid";2671;"Ministério das Relações Exteriores";NA;435
"1562";"Ministry of Foreign Affairs";"Brazilian Embassy in India";2672;"Ministério das Relações Exteriores";NA;435
"1563";"Ministry of Foreign Affairs";"Secretariat for National Sovereignty and Citizenship";2673;"Ministério das Relações Exteriores";NA;435
"1564";"Ministry of Foreign Relations";"Department of Special Affairs";33;"Ministério das Relações Exteriores";NA;435
"1565";"Ministry of Foreign Relations";"Consulate General of Brazil in Montreal";34;"Ministério das Relações Exteriores";NA;435
"1566";"Ministry of Foreign Relations";"Environment Division";35;"Ministério das Relações Exteriores";NA;435
"1567";"Ministry of Foreign Relations";NA;136;"Ministério das Relações Exteriores";NA;435
"1568";"Ministry of Foreign Relations";"Permanent Mission of Brazil to the United Nations in Geneva";1285;"Ministério das Relações Exteriores";NA;435
"1569";"Ministry of Foreign Relations";"Brazilian Embassy in Madrid";1290;"Ministério das Relações Exteriores";NA;435
"1570";"Ministry of Foreign Relations";"Department of Special Issues";1487;"Ministério das Relações Exteriores";NA;435
"1571";"Ministry of Foreign Relations";"Environment";1571;"Ministério das Relações Exteriores";NA;435
"1572";"Ministry of Foreign Relations";"Division of Environmental Policy and Sustainable Development, Department of the Environment";1576;"Ministério das Relações Exteriores";NA;435
"1573";"Ministry of Foreign Relations";"Environmental Policy and Sustainable Development";1580;"Ministério das Relações Exteriores";NA;435
"1574";"Ministry of Foreign Relations";"Division of Environmental Policy and Sustainable Development";1582;"Ministério das Relações Exteriores";NA;435
"1575";"Ministry of Foreign Relations";"Environment and Special Affairs";1651;"Ministério das Relações Exteriores";NA;435
"1576";"Ministry of Foreign Relations";"Permanent Mission to the European Communities";1653;"Ministério das Relações Exteriores";NA;435
"1577";"Ministry of Foreign Relations";"Environmental Policy and Sustainable Development Division";1655;"Ministério das Relações Exteriores";NA;435
"1578";"Ministry of Foreign Relations of";"Division of New and Renewable Energy Resources";2610;"Ministério das Relações Exteriores";NA;435
"1579";"Ministry of Health";"Fundacao Oswaldo Cruz";20;"Ministério da Saúde";NA;432
"1580";"Ministry of Health";NA;47;"Ministério da Saúde";NA;432
"1581";"Ministry of Health";"Ecology Laboratory, National School of Public Health of the Oswaldo Cruz Foundation";54;"Ministério da Saúde";NA;432
"1582";"Ministry of Health";"FIOCRUZ";58;"Ministério da Saúde";NA;432
"1583";"Ministry of Health";"Manager of International Cooperation and Agreements of the Coordination for Environmental Health Protection";72;"Ministério da Saúde";NA;432
"1584";"Ministry of Health";"Secretariat of Biodiversity and Forests";79;"Ministério da Saúde";NA;432
"1585";"Ministry of Health";"Institutional Exchange for Judicial Consultation, Legal Counsel's Office";134;"Ministério da Saúde";NA;432
"1586";"Ministry of Health";"National Sanitary Surveillance Agency";138;"Ministério da Saúde";NA;432
"1587";"Ministry of Health";"Legal Department";156;"Ministério da Saúde";NA;432
"1588";"Ministry of Health";"Environmental Health Surveillance";165;"Ministério da Saúde";NA;432
"1589";"Ministry of Health";"Assessoria Internacional";203;"Ministério da Saúde";NA;432
"1590";"Ministry of Health";"Department of Surveillance in Environmental Health and Occupational Health";224;"Ministério da Saúde";NA;432
"1591";"Ministry of Health";"General Coordination on Environmental Health Surveillance";232;"Ministério da Saúde";NA;432
"1592";"Ministry of Health";"Adviser to the President of the Water Company of the State of Guanabara, Member of the Working Group on Environmental Pollution";347;"Ministério da Saúde";NA;432
"1593";"Ministry of health";NA;447;"Ministério da Saúde";NA;432
"1594";"Ministry of Health";"Conceição Hospitals";505;"Ministério da Saúde";NA;432
"1595";"Ministry of Health";"Secretariat for Science, Technology and Strategic Input";647;"Ministério da Saúde";NA;432
"1596";"Ministry of Health";"Department of Environmental and Worker Health, Ministry of Health";827;"Ministério da Saúde";NA;432
"1597";"Ministry of Health";"Regulatory Affairs";1135;"Ministério da Saúde";NA;432
"1598";"Ministry of Health";"Assessoria de Assuntos Internacionais de Saúde";1319;"Ministério da Saúde";NA;432
"1599";"Ministry of Health";"Department of Health Surveillance, Environmental Health of Workers";1320;"Ministério da Saúde";NA;432
"1600";"Ministry of Health";"Department of Environmental and Occupational Health Surveillance";1331;"Ministério da Saúde";NA;432
"1601";"Ministry of Health";"SVS, Evandro Chagas Institute, Environment Section";1341;"Ministério da Saúde";NA;432
"1602";"Ministry of Health";"Evandro Chagas Institute";1344;"Ministério da Saúde";NA;432
"1603";"Ministry of Health";"International Affairs Office";1347;"Ministério da Saúde";NA;432
"1604";"Ministry of Health";"International Affairs Office, Division of Technical Analysis";1354;"Ministério da Saúde";NA;432
"1605";"Ministry of Health";"Department of Industrial Complex & Innovation to Health";1356;"Ministério da Saúde";NA;432
"1606";"Ministry of Health";"Department of Health Surveillance, Environment and Health of the Workers";1359;"Ministério da Saúde";NA;432
"1607";"Ministry of Industry, Commerce and Tourism";NA;1389;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";NA;439
"1608";"Ministry of Industry, Foreign Trade and Service";"Foreign Trade";2648;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";NA;439
"1609";"Ministry of Industry, Foreign Trade and Service";"Energy and Sustainable Development";2649;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";NA;439
"1610";"Ministry of Industry, Trade and Tourism";NA;1388;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";NA;439
"1611";"Ministry of International Relations";NA;2119;"Ministério das Relações Exteriores";NA;435
"1612";"Ministry of Justice";NA;152;"Ministério da Justiça";NA;429
"1613";"Ministry of Justice";"International affairs";1241;"Ministério da Justiça";NA;429
"1614";"Ministry of Justice";"Social Policies";2238;"Ministério da Justiça";NA;429
"1615";"Ministry of Labor";"Fundacentro, National Chemical Safety Programme";1316;"Ministério do Trabalho e Emprego";NA;445
"1616";"Ministry of Labor";"Fundacentro, Chemical Safety Programme";1324;"Ministério do Trabalho e Emprego";NA;445
"1617";"Ministry of Labor";"Fundacentro, Chemical Safety and Risks";1346;"Ministério do Trabalho e Emprego";NA;445
"1618";"Ministry of Labour";"Fundacentro";189;"Ministério do Trabalho e Emprego";NA;445
"1619";"Ministry of Labour";"Occupational Safety and Health Department";1328;"Ministério do Trabalho e Emprego";NA;445
"1620";"Ministry of Labour";"Fundacentro, Chemicals and Safety";1363;"Ministério do Trabalho e Emprego";NA;445
"1621";"Ministry of Labour";"Fundacentro, Chemical Risks, Chemical and Safety";1367;"Ministério do Trabalho e Emprego";NA;445
"1622";"Ministry of Labour and Employment";"Fundacentro";183;"Ministério do Trabalho e Emprego";NA;445
"1623";"Ministry of Labour and Employment";NA;361;"Ministério do Trabalho e Emprego";NA;445
"1624";"Ministry of Labour and employment";NA;778;"Ministério do Trabalho e Emprego";NA;445
"1625";"Ministry of Labour and Employment";"National Secretariat for Solidary Economy";1121;"Ministério do Trabalho e Emprego";NA;445
"1626";"Ministry of Labour and Employment";"Technical Cooperation and Exchange Division";1143;"Ministério do Trabalho e Emprego";NA;445
"1627";"Ministry of Lands, Housing and Environment";"Environment Department";1964;"Governo de Serra Leoa";NA;309
"1628";"Ministry of Mines and Energy";"Petroleum and Gas";1362;"Ministério de Minas e Energia";NA;436
"1629";"Ministry of Mines and Energy";"Coordination for Energy Systems";1425;"Ministério de Minas e Energia";NA;436
"1630";"Ministry of Mines and Energy";NA;1434;"Ministério de Minas e Energia";NA;436
"1631";"Ministry of Mines and Energy";"General Coordination for Energy Integration";1442;"Ministério de Minas e Energia";NA;436
"1632";"Ministry of Mines and Energy";"Energy Information";1526;"Ministério de Minas e Energia";NA;436
"1633";"Ministry of Mines and Energy";"Programmes";1538;"Ministério de Minas e Energia";NA;436
"1634";"Ministry of Mines and Energy";"Programme";1585;"Ministério de Minas e Energia";NA;436
"1635";"Ministry of Mines and Energy";"Alternative Resources";1586;"Ministério de Minas e Energia";NA;436
"1636";"Ministry of Mines and Energy";"Renewable Energy and Environment";1592;"Ministério de Minas e Energia";NA;436
"1637";"Ministry of Mines and Energy";"Planning and Energy Development";1652;"Ministério de Minas e Energia";NA;436
"1638";"Ministry of Mines and Energy";"Energy Development";1656;"Ministério de Minas e Energia";NA;436
"1639";"Ministry of Mines and Energy";"Environmental Sustainability";1661;"Ministério de Minas e Energia";NA;436
"1640";"Ministry of Mines and Energy";"Public Politics and Governmental Management, Energy Development";1662;"Ministério de Minas e Energia";NA;436
"1641";"Ministry of Mines and Energy";"Energy Development and Planning";1715;"Ministério de Minas e Energia";NA;436
"1642";"Ministry of Mines and Energy";"Foreign Affairs";2677;"Ministério de Minas e Energia";NA;436
"1643";"Ministry of Mining and Energy";NA;367;"Ministério de Minas e Energia";NA;436
"1644";"Ministry of Mining and Energy";"Press";434;"Ministério de Minas e Energia";NA;436
"1645";"Ministry of Mining and Energy";"International Affairs";1239;"Ministério de Minas e Energia";NA;436
"1646";"Ministry of National Integration";NA;384;"Ministério da Integração Nacional";NA;428
"1647";"Ministry of Planning and Budget";"Bilateral Financing, Secretariat for Foreign Affairs";23;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1648";"Ministry of Planning and Budget";"Secretariat of Foreign Affairs";1387;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1649";"Ministry of Planning and Budget";NA;1390;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1650";"Ministry of Planning Budget and Management";"Secretariat for International Affairs";679;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1651";"Ministry of Planning, Budget and Management";NA;380;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1652";"Ministry of Planning, Budget and Management";"Secretary of International Affairs";681;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1653";"Ministry of Planning, Budget and Management";"Secretariat for Planning and Investment";750;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1654";"Ministry of Planning, Budget and Management";"Secretariat of International Affairs";804;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1655";"Ministry of Planning, Budget and Management";"Management";1206;"Ministério do Planejamento, Orçamento e Gestão";NA;444
"1656";"Ministry of Planning, Development and Management";"Planning and Budget";2650;"Ministério do Planejamento, Desenvolvimento e Gestão";NA;443
"1657";"Ministry of Science";"Coordination on Global Climate Change";2232;"Ministério da Ciência e Tecnologia";NA;422
"1658";"Ministry of Science and Technology";"SECOP";12;"Ministério da Ciência e Tecnologia";NA;422
"1659";"Ministry of Science and Technology";"Secretariat of Programmes Coordination";15;"Ministério da Ciência e Tecnologia";NA;422
"1660";"Ministry of Science and Technology";"Biosafety Comission / CTNBIO";30;"Ministério da Ciência e Tecnologia";NA;422
"1661";"Ministry of Science and Technology";"National Biosafety Commission";31;"Ministério da Ciência e Tecnologia";NA;422
"1662";"Ministry of Science and Technology";"CTNBio";40;"Ministério da Ciência e Tecnologia";NA;422
"1663";"Ministry of Science and Technology";"Coordinator for Biodiversity Research, Policies ang Programmes";70;"Ministério da Ciência e Tecnologia";NA;422
"1664";"Ministry of Science and Technology";NA;71;"Ministério da Ciência e Tecnologia";NA;422
"1665";"Ministry of Science and Technology";"International Affairs Advisory";73;"Ministério da Ciência e Tecnologia";NA;422
"1666";"Ministry of Science and Technology";"Biodiversity Research Programme, National Institute of Amazon Research";83;"Ministério da Ciência e Tecnologia";NA;422
"1667";"Ministry of Science and Technology";"Board of International Affairs";137;"Ministério da Ciência e Tecnologia";NA;422
"1668";"Ministry of Science and Technology";"Instituto Agronomico de Pernambuco";1296;"Ministério da Ciência e Tecnologia";NA;422
"1669";"Ministry of Science and Technology";"Secretariat for Scientific Policy";1408;"Ministério da Ciência e Tecnologia";NA;422
"1670";"Ministry of Science and Technology";"International Cooperation";1417;"Ministério da Ciência e Tecnologia";NA;422
"1671";"Ministry of Science and Technology";"Climate Change";1419;"Ministério da Ciência e Tecnologia";NA;422
"1672";"Ministry of Science and Technology";"Coordination on Global Change Research";1426;"Ministério da Ciência e Tecnologia";NA;422
"1673";"Ministry of Science and Technology";"International Affairs";1432;"Ministério da Ciência e Tecnologia";NA;422
"1674";"Ministry of Science and Technology";"Coordination for Multilateral Cooperation";1440;"Ministério da Ciência e Tecnologia";NA;422
"1675";"Ministry of Science and Technology";"Coordination on Climate Change Research";1443;"Ministério da Ciência e Tecnologia";NA;422
"1676";"Ministry of Science and Technology";"Coordination";1444;"Ministério da Ciência e Tecnologia";NA;422
"1677";"Ministry of Science and Technology";"General Coordination of Research on Global Change";1456;"Ministério da Ciência e Tecnologia";NA;422
"1678";"Ministry of Science and Technology";"Brazilian Forum on Climate Change";1457;"Ministério da Ciência e Tecnologia";NA;422
"1679";"Ministry of Science and Technology";"General Coordination on Global Climate Change";1461;"Ministério da Ciência e Tecnologia";NA;422
"1680";"Ministry of Science and Technology";"Coordination on Climate Change Research, Inventory";1462;"Ministério da Ciência e Tecnologia";NA;422
"1681";"Ministry of Science and Technology";"Secretariat of Technologic and Enterpreneurial Policy";1463;"Ministério da Ciência e Tecnologia";NA;422
"1682";"Ministry of Science and Technology";"General Coordination Section on Global Climate Change";1464;"Ministério da Ciência e Tecnologia";NA;422
"1683";"Ministry of Science and Technology";"Coordination of Research in Global Changes";1482;"Ministério da Ciência e Tecnologia";NA;422
"1684";"Ministry of Science and Technology";"General Coordination on Climate Change";1489;"Ministério da Ciência e Tecnologia";NA;422
"1685";"Ministry of Science and Technology";"Secretariat of Business TechnologyPolicy";1490;"Ministério da Ciência e Tecnologia";NA;422
"1686";"Ministry of Science and Technology";"Secretariat of Science and Technology, Policies Program";1506;"Ministério da Ciência e Tecnologia";NA;422
"1687";"Ministry of Science and Technology";"General Coordination on Research in Global Changes";1508;"Ministério da Ciência e Tecnologia";NA;422
"1688";"Ministry of Science and Technology";"General Coordination on Global Change Research";1513;"Ministério da Ciência e Tecnologia";NA;422
"1689";"Ministry of Science and Technology";"Secretariat of Science and Technology Programs";1523;"Ministério da Ciência e Tecnologia";NA;422
"1690";"Ministry of Science and Technology";"Secretariat of Policy and Programs in Science and Technology";1525;"Ministério da Ciência e Tecnologia";NA;422
"1691";"Ministry of Science and Technology";"Coordination Unit of Research on Global Changes";1527;"Ministério da Ciência e Tecnologia";NA;422
